section,title,practice_areas_pipe,priority,official_url
2909.26,"Criminal possession of chemical, biological, radiological, or nuclear weapon or explosive device",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.26
2909.27,"Criminal use of chemical, biological, radiological, or nuclear weapon or explosive device",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.27
2909.28,Illegal assembly or possession of chemicals or substances for manufacture of prohibited weapons,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.28
2909.29,Money laundering in support of terrorism,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.29
2909.30,Notification of homeland security department of conviction of suspected alien,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.30
2909.31,Person entering transportation facility to show identification,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.31
2911.01,Aggravated robbery,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.01
2911.02,Robbery,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.02
2911.10,Trespass as element of offense,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.10
2911.11,Aggravated burglary,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.11
2911.12,Burglary,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.12
2911.13,Breaking and entering,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.13
2911.21,Criminal trespass,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.21
2911.211,Aggravated trespass,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.211
2911.23,Criminal trespass on place of public amusement,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.23
2911.31,Safecracking,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.31
2911.32,Tampering with coin machines,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2911.32
2913.01,Theft and fraud general definitions,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.01
2913.02,Theft,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.02
2913.021,Theft of mail,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.021
2913.03,Unauthorized use of a vehicle,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.03
2913.04,"Unauthorized use of property - computer, cable, or telecommunication property",Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.04
2913.041,Possession or sale of unauthorized cable television device,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.041
2913.05,Telecommunications fraud,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.05
2913.06,Unlawful use of telecommunications device,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.06
2913.07,Motion picture piracy,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.07
2913.08,Organized theft of retail property,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.08
2913.11,Passing bad checks,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.11
2913.21,Misuse of credit cards,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.21
2913.30,Counterfeiting,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.30
2913.31,Forgery - Forging identification cards or selling or distributing forged identification cards,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.31
2913.32,Criminal simulation,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.32
2913.33,Making or using slugs,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.33
2913.34,Trademark counterfeiting,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.34
2913.40,Medicaid fraud,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.40
2913.401,Medicaid eligibility fraud,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.401
2913.41,Defrauding a rental agency or hostelry,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.41
2913.42,Tampering with records,Criminal Defense | White Collar Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2913.42
