section,orc_dash,title,ui_label,url_slug,official_url,priority,practice_areas_pipe,keywords_pipe
2903.21,2903-21,Aggravated menacing,ORC 2903.21: Aggravated menacing,aggravated-menacing-orc-2903-21,https://codes.ohio.gov/ohio-revised-code/section-2903.21,P1,Criminal Defense,Aggravated menacing ohio | orc 2903.21
2903.211,2903-211,Menacing by stalking,ORC 2903.211: Menacing by stalking,menacing-by-stalking-orc-2903-211,https://codes.ohio.gov/ohio-revised-code/section-2903.211,P1,Criminal Defense | Protection Orders | Domestic Violence,Menacing by stalking ohio | orc 2903.211 | domestic violence ohio | dv ohio
2903.212,2903-212,Bail for violations of certain protection orders,ORC 2903.212: Bail for violations of certain protection orders,bail-for-violations-of-certain-protection-orders-orc-2903-212,https://codes.ohio.gov/ohio-revised-code/section-2903.212,P1,Criminal Defense,Bail for violations of certain protection orders ohio | orc 2903.212
2903.213,2903-213,Motion for and hearing on protection order,ORC 2903.213: Motion for and hearing on protection order,motion-for-and-hearing-on-protection-order-orc-2903-213,https://codes.ohio.gov/ohio-revised-code/section-2903.213,P1,Criminal Defense | Protection Orders | Domestic Violence,Motion for and hearing on protection order ohio | orc 2903.213 | domestic violence ohio | dv ohio
2903.214,2903-214,Petition for protection order in menacing by stalking cases,ORC 2903.214: Petition for protection order in menacing by stalking cases,petition-for-protection-order-in-menacing-by-stalking-cases-orc-2903-214,https://codes.ohio.gov/ohio-revised-code/section-2903.214,P1,Criminal Defense | Protection Orders | Domestic Violence,Petition for protection order in menacing by stalking cases ohio | orc 2903.214 | domestic violence ohio | dv ohio
2903.215,2903-215,Protection orders on behalf of organization,ORC 2903.215: Protection orders on behalf of organization,protection-orders-on-behalf-of-organization-orc-2903-215,https://codes.ohio.gov/ohio-revised-code/section-2903.215,P1,Criminal Defense | Protection Orders | Domestic Violence,Protection orders on behalf of organization ohio | orc 2903.215 | domestic violence ohio | dv ohio
2903.216,2903-216,Illegal use of a tracking device or application,ORC 2903.216: Illegal use of a tracking device or application,illegal-use-of-a-tracking-device-or-application-orc-2903-216,https://codes.ohio.gov/ohio-revised-code/section-2903.216,P1,Criminal Defense,Illegal use of a tracking device or application ohio | orc 2903.216
2903.22,2903-22,Menacing,ORC 2903.22: Menacing,menacing-orc-2903-22,https://codes.ohio.gov/ohio-revised-code/section-2903.22,P1,Criminal Defense,Menacing ohio | orc 2903.22
2903.31,2903-31,Hazing,ORC 2903.31: Hazing,hazing-orc-2903-31,https://codes.ohio.gov/ohio-revised-code/section-2903.31,P1,Criminal Defense,Hazing ohio | orc 2903.31
2903.311,2903-311,Reckless failure to immediately report knowledge of hazing,ORC 2903.311: Reckless failure to immediately report knowledge of hazing,reckless-failure-to-immediately-report-knowledge-of-hazing-orc-2903-311,https://codes.ohio.gov/ohio-revised-code/section-2903.311,P1,Criminal Defense,Reckless failure to immediately report knowledge of hazing ohio | orc 2903.311
2903.32,2903-32,Female genital mutilation,ORC 2903.32: Female genital mutilation,female-genital-mutilation-orc-2903-32,https://codes.ohio.gov/ohio-revised-code/section-2903.32,P1,Criminal Defense,Female genital mutilation ohio | orc 2903.32
2903.33,2903-33,Patient abuse and neglect in care facilities definitions,ORC 2903.33: Patient abuse and neglect in care facilities definitions,patient-abuse-and-neglect-in-care-facilities-definitions-orc-2903-33,https://codes.ohio.gov/ohio-revised-code/section-2903.33,P1,Criminal Defense,Patient abuse and neglect in care facilities definitions ohio | orc 2903.33
2903.34,2903-34,Patient abuse or neglect,ORC 2903.34: Patient abuse or neglect,patient-abuse-or-neglect-orc-2903-34,https://codes.ohio.gov/ohio-revised-code/section-2903.34,P1,Criminal Defense,Patient abuse or neglect ohio | orc 2903.34
2903.341,2903-341,Patient endangerment,ORC 2903.341: Patient endangerment,patient-endangerment-orc-2903-341,https://codes.ohio.gov/ohio-revised-code/section-2903.341,P1,Criminal Defense,Patient endangerment ohio | orc 2903.341
2903.35,2903-35,Filing false patient abuse or neglect complaints,ORC 2903.35: Filing false patient abuse or neglect complaints,filing-false-patient-abuse-or-neglect-complaints-orc-2903-35,https://codes.ohio.gov/ohio-revised-code/section-2903.35,P1,Criminal Defense,Filing false patient abuse or neglect complaints ohio | orc 2903.35
2903.36,2903-36,Whistleblower protection,ORC 2903.36: Whistleblower protection,whistleblower-protection-orc-2903-36,https://codes.ohio.gov/ohio-revised-code/section-2903.36,P1,Criminal Defense,Whistleblower protection ohio | orc 2903.36
2903.37,2903-37,License revocation upon conviction,ORC 2903.37: License revocation upon conviction,license-revocation-upon-conviction-orc-2903-37,https://codes.ohio.gov/ohio-revised-code/section-2903.37,P1,Criminal Defense,License revocation upon conviction ohio | orc 2903.37
2903.41,2903-41,Definitions related to violent offender database,ORC 2903.41: Definitions related to violent offender database,definitions-related-to-violent-offender-database-orc-2903-41,https://codes.ohio.gov/ohio-revised-code/section-2903.41,P1,Criminal Defense,Definitions related to violent offender database ohio | orc 2903.41
2903.42,2903-42,Enrollment in violent offender database; presumption,ORC 2903.42: Enrollment in violent offender database; presumption,enrollment-in-violent-offender-database-presumption-orc-2903-42,https://codes.ohio.gov/ohio-revised-code/section-2903.42,P1,Criminal Defense,Enrollment in violent offender database; presumption ohio | orc 2903.42
2903.421,2903-421,Qualifying out-of-state offenders,ORC 2903.421: Qualifying out-of-state offenders,qualifying-out-of-state-offenders-orc-2903-421,https://codes.ohio.gov/ohio-revised-code/section-2903.421,P1,Criminal Defense,Qualifying out-of-state offenders ohio | orc 2903.421
2903.43,2903-43,Offenders who have VOD duties; enrollment,ORC 2903.43: Offenders who have VOD duties; enrollment,offenders-who-have-vod-duties-enrollment-orc-2903-43,https://codes.ohio.gov/ohio-revised-code/section-2903.43,P1,Criminal Defense,Offenders who have VOD duties; enrollment ohio | orc 2903.43
2903.44,2903-44,Out-of-state offenders with VOD duties; enrollment,ORC 2903.44: Out-of-state offenders with VOD duties; enrollment,out-of-state-offenders-with-vod-duties-enrollment-orc-2903-44,https://codes.ohio.gov/ohio-revised-code/section-2903.44,P1,Criminal Defense,Out-of-state offenders with VOD duties; enrollment ohio | orc 2903.44
2905.01,2905-01,Kidnapping,ORC 2905.01: Kidnapping,kidnapping-orc-2905-01,https://codes.ohio.gov/ohio-revised-code/section-2905.01,P1,Criminal Defense,Kidnapping ohio | orc 2905.01
2905.02,2905-02,Abduction,ORC 2905.02: Abduction,abduction-orc-2905-02,https://codes.ohio.gov/ohio-revised-code/section-2905.02,P1,Criminal Defense,Abduction ohio | orc 2905.02
2905.03,2905-03,Unlawful restraint,ORC 2905.03: Unlawful restraint,unlawful-restraint-orc-2905-03,https://codes.ohio.gov/ohio-revised-code/section-2905.03,P1,Criminal Defense,Unlawful restraint ohio | orc 2905.03
2905.05,2905-05,Criminal child enticement,ORC 2905.05: Criminal child enticement,criminal-child-enticement-orc-2905-05,https://codes.ohio.gov/ohio-revised-code/section-2905.05,P1,Criminal Defense,Criminal child enticement ohio | orc 2905.05
2905.11,2905-11,Extortion and sexual extortion,ORC 2905.11: Extortion and sexual extortion,extortion-and-sexual-extortion-orc-2905-11,https://codes.ohio.gov/ohio-revised-code/section-2905.11,P1,Criminal Defense,Extortion and sexual extortion ohio | orc 2905.11
2905.111,2905-111,Sexual extortion - person or child as victim,ORC 2905.111: Sexual extortion - person or child as victim,sexual-extortion-person-or-child-as-victim-orc-2905-111,https://codes.ohio.gov/ohio-revised-code/section-2905.111,P1,Criminal Defense,Sexual extortion - person or child as victim ohio | orc 2905.111
2905.12,2905-12,Coercion,ORC 2905.12: Coercion,coercion-orc-2905-12,https://codes.ohio.gov/ohio-revised-code/section-2905.12,P1,Criminal Defense,Coercion ohio | orc 2905.12
2905.21,2905-21,Extortionate extension of credit - criminal usury definitions,ORC 2905.21: Extortionate extension of credit - criminal usury definitions,extortionate-extension-of-credit-criminal-usury-definitions-orc-2905-21,https://codes.ohio.gov/ohio-revised-code/section-2905.21,P1,Criminal Defense,Extortionate extension of credit - criminal usury definitions ohio | orc 2905.21
2905.22,2905-22,Extortionate extension of credit - criminal usury,ORC 2905.22: Extortionate extension of credit - criminal usury,extortionate-extension-of-credit-criminal-usury-orc-2905-22,https://codes.ohio.gov/ohio-revised-code/section-2905.22,P1,Criminal Defense,Extortionate extension of credit - criminal usury ohio | orc 2905.22
2905.23,2905-23,Probable cause to believe that extension of credit was extortionate,ORC 2905.23: Probable cause to believe that extension of credit was extortionate,probable-cause-to-believe-that-extension-of-credit-was-extortionate-orc-2905-23,https://codes.ohio.gov/ohio-revised-code/section-2905.23,P1,Criminal Defense,Probable cause to believe that extension of credit was extortionate ohio | orc 2905.23
